,Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,long,lat,street_number,route,neighborhood,postal_town,county,postal_code
4533,2019-04-16,"9 SCRIBBLESTOWN PLACE, RATHOATH RD, FINGLAS DUBLIN 11",Dublin 11,Dublin,106343.44,Yes,No,Second-Hand Dwelling house /Apartment,,-6.3168219,53.3805115,9,Scribblestown Road,Finglas South,,County Dublin,D11 CY63
4534,2019-04-16,"9 Somerton Lawns, Newcastle Road, Lucan",,Dublin,294100.0,No,Yes,New Dwelling house /Apartment,,-6.454288399999999,53.3436374,9,Somerton Lawns,Finnstown,,County Dublin,
4535,2019-04-16,"91 GREGG COURT, PARNELL ST, DUBLIN",Dublin 1,Dublin,325000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2629046,53.3518295,,Parnell Street,,Dublin 1,County Dublin,
4536,2019-04-16,"95 NEW MARKET SQ, MILL ST, DUBLIN 8",Dublin 8,Dublin,266000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2756932,53.3377127,69-53,Ward's Hill,Merchants Quay,Dublin 8,County Dublin,
4537,2019-04-16,"96 TRITONVILLE RD, SANDYMOUNT, DUBLIN 4",Dublin 4,Dublin,1300000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2214885,53.3335623,96,Tritonville Road,,Dublin 4,County Dublin,D04 PX00
4538,2019-04-16,"APT 1, 12 ADELAIDE ROAD, DUBLIN2",,Dublin,247000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2597144,53.3326092,12,Adelaide Road,Saint Kevin's,,County Dublin,D02 TW88
4539,2019-04-16,"APT 301, KILMAINHAM SQ, KILMAINHAM DUBLIN 8",Dublin 8,Dublin,346000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.3050548,53.3416903,8,Kilmainham Lane,Kilmainham,Dublin 8,County Dublin,
4540,2019-04-17,"1 BELLGREE HOUSE, TYRRELSTOWN, BLANCHARDSTOWN DUBLIN 15",Dublin 15,Dublin,173000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.385114799999999,53.4209563,,The Boulevard,Tyrrelstown,Dublin 15,County Dublin,
4541,2019-04-17,"1 BROOKFIELD COURT, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,100000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.4042978,53.2871532,1,Brookfield Road,Jobstown,Dublin 24,County Dublin,D24 P825
4542,2019-04-17,"1 MARINO PARK AVE, DUBLIN 3, DUBLIN",Dublin 3,Dublin,420000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.233523000000001,53.3651814,1,Marino Park Avenue,Ballybough,Dublin 3,County Dublin,D03 A896
4543,2019-04-17,"1 OCASEY HALL, COLLEGEWOOD, CASTLEKNOCK DUBLIN 15",Dublin 15,Dublin,284000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.3677376,53.3712655,,Collegewood,Castleknock,Dublin 15,County Dublin,
4544,2019-04-17,"10 Castlefield Hall, Clonsilla, Dublin 15",Dublin 15,Dublin,409691.63,No,Yes,New Dwelling house /Apartment,,-6.416672,53.38675809999999,10,Castlefield Hall,Clonsilla,,County Dublin,
4545,2019-04-17,"10 SPRINGFIELD PARK, TEMPLEOGUE, DUBLIN 6W",,Dublin,630000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2996815,53.2982178,10,Springfield Park,Templeogue Village,Dublin 6W,County Dublin,D6W PX61
4546,2019-04-17,"105 DROMARD RD, DRIMNAGH, DUBLIN 12",Dublin 12,Dublin,195000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.319534,53.3272713,105,Dromard Road,,,County Dublin,D12 XK27
4547,2019-04-17,"105 THE KILNS, STATION RD, PORTMARNOCK",Dublin 13,Dublin,290000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.1502519,53.4193726,58,Station Road,Portmarnock,Portmarnock,County Dublin,
4548,2019-04-17,"109 ANNADALE DR, DRUMCONDRA, DUBLIN 9",Dublin 9,Dublin,415000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2423894,53.3713582,109,Annadale Drive,Ballybough,Dublin 9,County Dublin,D09 K2K7
4549,2019-04-17,"127 WOODLAWN PARK GROVE, FIRHOUSE, DUBLIN 24",Dublin 24,Dublin,395000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.3330103,53.2811069,127,Woodlawn Park Grove,Knocklyon,Dublin 24,County Dublin,D24 P5N4
4550,2019-04-17,"13 Ardsolus, Old Naas Road, Brownsbarn",,Dublin,286343.0,No,Yes,New Dwelling house /Apartment,,-6.423287699999999,53.2952701,13,Old Naas Road,Brownsbarn,,County Dublin,D22 A2K0
4551,2019-04-17,"13 Diswellstown Court, CASTLEKNOCK, DUBLIN 15",,Dublin,431718.06,No,Yes,New Dwelling house /Apartment,,-6.383604699999999,53.3673722,13,Diswellstown Court,Diswellstown,Dublin 15,County Dublin,
4552,2019-04-17,"13 Waterside Green, Waterside, Swords",,Dublin,255506.61,No,Yes,New Dwelling house /Apartment,,-6.200974,53.4505262,13,Waterside Green,Mountgorry,,County Dublin,
4553,2019-04-17,"137 AULDEN GRANGE, OLD COOLOCK LANE, SANTRY DUBLIN 9",Dublin 17,Dublin,325000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2327232,53.3986643,137,Aulden Grange,Clonshagh,,County Dublin,D17 KW81
4554,2019-04-17,"139 FORTFIELD RD, TERENURE, DUBLIN 6W",,Dublin,1160000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.3000389,53.3047187,139,Fortfield Road,,Dublin 6W,County Dublin,D6W FF24
4555,2019-04-17,"14 SWORDS MANOR COURT SWORDS, DUBLIN",,Dublin,264880.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2445451,53.46184,14,Swords Manor Court,Windmill Lands,,County Dublin,K67 A7D8
