Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"09/01/2019","26 PARKLANDS, CASTLESIDE, RATHFARNHAM","Dublin 14","Dublin","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","3 THE KILNS, STATION RD, PORTMARNOCK","Dublin 13","Dublin","€580,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","30 Rathborne Square, RATHBORNE, ASHTOWN","","Dublin","€321,585.90","No","Yes","New Dwelling house /Apartment",""
"09/01/2019","32 Beechwood Heath, Beechwood, Hansfield","Dublin 15","Dublin","€281,938.32","No","Yes","New Dwelling house /Apartment",""
"09/01/2019","32 Parkside Gardens, Balgriffin, Dublin 13","Dublin 13","Dublin","€290,748.00","No","Yes","New Dwelling house /Apartment",""
"09/01/2019","4 Lad Lane, 4 Fitzwilliam Place, Dublin 2","Dublin 2","Dublin","€1,250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","41 RING ST, INCHICORE, DUBLIN 8","Dublin 8","Dublin","€315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","42 Millers Avenue, Millers Glen, Swords","","Dublin","€290,748.00","No","Yes","New Dwelling house /Apartment",""
"09/01/2019","61 BEAUMONT RD, DUBLIN 9, DUBLIN","Dublin 9","Dublin","€517,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","7 THORNLEIGH PLACE, SWORDS, DUBLIN","","Dublin","€277,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","70 ENNAFORT RD, RAHENY, DUBLIN 5","Dublin 5","Dublin","€587,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","8 ATHGOE RD, SHANKILL, DUBLIN","Dublin 18","Dublin","€495,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","91 AYLMER RD, NEWCASTLE, DUBLIN","Dublin 22","Dublin","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","Apartment 51, Ardilaun Court, Sybil Hill Road","Dublin 5","Dublin","€330,396.00","No","Yes","New Dwelling house /Apartment",""
"09/01/2019","APT 17 BLOCK A, THE GLEN, BETTYGLEN DUBLIN 5","Dublin 5","Dublin","€225,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"09/01/2019","APT 197, THE HARDWICKE, CHURCH ST DUBLIN 7","Dublin 7","Dublin","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","10 CASTLEGATE MEWS, ADAMSTOWN, LUCAN","","Dublin","€296,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","102 MERIDIAN COURT, ROYAL CANAL PARK, RATOATH RD DUBLIN 15","Dublin 7","Dublin","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","12 GLENBEIGH RD, BLACKHORSE AVE, C RD DUBLIN 7","Dublin 7","Dublin","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","13 MERTON DR, RANELAGH, DUBLIN 6","Dublin 6","Dublin","€922,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","142 ASHLAWN PARK, BALLYBRACK, CO DUBLIN","","Dublin","€362,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","15 DEERHAVEN PARK, CLONEE, DUBLIN 15","Dublin 15","Dublin","€285,000.00","No","No","Second-Hand Dwelling house /Apartment",""
