,Luas_quantity,Bus_quantity,Train_quantity,PS_quantity,SS_quantity,Garda_quantity,Price,VAT_exclusive,Longitude,Latitude,New_Dwelling_House_Apartment,Second_Hand_Dwelling_House_Apartment
254,4,60,0,5,0,1,260000.0,0,-6.246028,53.287904000000005,0,1
255,0,58,0,1,0,0,166000.0,0,-6.2940572,53.4013452,0,1
256,0,21,1,3,1,1,285000.0,0,-6.1102055,53.5800303,0,1
257,4,95,0,6,1,0,475000.0,0,-6.282013500000001,53.3611536,0,1
258,0,10,0,1,0,0,155000.0,0,-6.2106987,53.6100279,0,1
259,10,84,0,1,1,2,359000.0,0,-6.3020988,53.3356544,0,1
260,0,27,0,2,0,1,187500.0,0,-6.4474208,53.34783470000001,0,1
261,0,61,0,2,0,1,227000.0,0,-6.380105400000001,53.3961023,0,1
262,11,203,5,3,1,2,550000.0,0,-6.2433992,53.3431908,0,1
263,0,87,0,2,3,1,200000.0,0,-6.3037719,53.3275812,0,1
264,0,14,0,1,0,0,361233.48,1,-6.1361179,53.4437263,1,0
265,18,287,3,7,3,3,256000.0,0,-6.2505868,53.3525906,0,1
266,4,111,0,9,2,2,300000.0,0,-6.2770852,53.3401246,0,1
267,0,34,2,1,0,0,298000.0,0,-6.3356878,53.37228270000001,0,1
268,2,71,0,7,2,1,427500.0,0,-6.2741908,53.32912679999999,0,1
270,0,21,0,2,1,0,220000.0,0,-6.4398101,53.4005688,0,1
271,0,52,0,3,1,0,841651.0,0,-6.1737761,53.27784789999999,0,1
272,0,43,0,2,2,0,478000.0,0,-6.3346493,53.28312629999999,0,1
273,0,27,0,4,2,0,200000.0,0,-6.4346308,53.3972821,0,1
274,0,18,0,0,1,0,405286.34,1,-6.3815055,53.3700478,1,0
275,12,215,0,7,2,2,418000.0,0,-6.2688477,53.3406829,0,1
276,3,88,0,6,2,1,333000.0,0,-6.280132900000001,53.3641823,0,1
277,0,72,0,3,2,0,460000.0,0,-6.150548000000001,53.2776736,0,1
278,21,380,3,7,3,2,382500.0,1,-6.254933,53.34575400000001,1,0
279,9,119,4,4,2,0,345000.0,0,-6.2381188,53.345536,0,1
280,1,196,2,1,2,0,366000.0,0,-6.245934200000001,53.3374541,0,1
281,0,27,1,3,1,1,534000.0,0,-6.166452099999999,53.4533478,0,1
282,12,112,0,9,3,1,135000.0,0,-6.277125900000001,53.3463657,0,1
283,0,30,0,0,0,0,275000.0,0,-6.212335700000001,53.444608200000005,0,1
284,0,71,0,4,1,1,171000.0,0,-6.1915796,53.3885063,0,1
285,17,268,4,5,3,3,331000.0,0,-6.2470683,53.351416500000006,0,1
286,0,42,0,5,0,1,740000.0,0,-6.2109899,53.3642648,0,1
287,0,45,2,3,0,1,500000.0,0,-6.1347017,53.29387679999999,0,1
288,2,51,0,3,1,1,100000.0,0,-6.3614892,53.2876946,0,1
289,0,49,0,3,1,0,340000.0,0,-6.2353069,53.461595900000006,0,1
290,6,78,0,6,3,1,140969.1,1,-6.290746400000001,53.3344828,1,0
291,10,99,1,5,2,1,202000.0,0,-6.282123599999999,53.3498446,0,1
292,0,55,0,5,3,0,524229.08,1,-6.237646,53.3765588,1,0
293,0,8,0,1,0,0,286343.0,1,-6.1365644,53.5843054,1,0
294,0,0,0,0,0,0,445000.0,0,-6.4887383000000005,53.52474300000001,0,1
295,0,48,0,3,2,0,289950.0,0,-6.2248456,53.467581,0,1
296,0,32,1,5,1,1,230000.0,0,-6.1962639,53.6112755,0,1
297,0,18,0,4,1,0,246696.03,1,-6.380682599999999,53.2702798,1,0
298,0,26,0,1,2,0,155000.0,0,-6.1868041,53.401346200000006,0,1
299,16,245,3,6,3,3,276000.0,0,-6.2484549000000005,53.35337239999999,0,1
300,0,29,0,0,1,0,220264.32,1,-6.2021120000000005,53.4519955,1,0
301,0,47,1,1,3,1,255000.0,0,-6.2199709,53.36453879999999,0,1
302,0,14,1,0,0,0,192000.0,0,-6.1532404000000005,53.407247,0,1
303,0,17,1,2,1,0,470000.0,0,-6.1033345,53.2761966,0,1
305,0,75,0,5,0,1,195000.0,0,-6.2925891,53.31813489999999,0,1
306,0,28,0,1,0,0,290749.0,1,-6.1791162,53.3631694,1,0
307,0,56,0,4,1,1,555000.0,0,-6.1443637,53.28681089999999,0,1
308,4,68,0,5,0,1,381000.0,0,-6.2454413,53.2913495,0,1
309,4,78,0,6,3,1,167000.0,0,-6.2892797,53.3330909,0,1
310,0,22,2,10,1,0,210000.0,0,-6.1526904,53.38836189999999,0,1
311,0,58,0,6,3,0,630000.0,0,-6.2810512,53.3267474,0,1
