ID,Latitude,Longitude,Type
8220DB007149,53.40729626,-6.277997272,Bus Stop
8220DB007151,53.40627302,-6.27373686,Bus Stop
8220DB007150,53.40641057,-6.275791923,Bus Stop
8220DB007464,53.38914607,-6.183181815,Bus Stop
8220DB007463,53.3895327,-6.183781797999999,Bus Stop
8220DB001807,53.37441446,-6.339262883,Bus Stop
8220DB001847,53.37290201,-6.333926261,Bus Stop
8220DB001668,53.37084274,-6.34030355,Bus Stop
8220DB001694,53.37101739,-6.339936076,Bus Stop
8220DB001667,53.37086977,-6.334501519,Bus Stop
8220DB001695,53.37101014,-6.334255586,Bus Stop
8220DB007113,53.40254107,-6.2649242639999985,Bus Stop
8220DB006362,53.40650063,-6.2895509139999985,Bus Stop
8220DB001579,53.39352158,-6.323738177,Bus Stop
8220DB001582,53.39276988,-6.3220535920000005,Bus Stop
8220DB001561,53.39380313,-6.326508874,Bus Stop
8220DB001012,53.39025001,-6.152627429,Bus Stop
8220DB007275,53.40575249,-6.268824526,Bus Stop
8220DB007274,53.4059113,-6.269239223,Bus Stop
8220DB007277,53.40600083,-6.28041103,Bus Stop
8220DB007276,53.40610592,-6.28084298,Bus Stop
8220DB007213,53.40619979,-6.284870187999999,Bus Stop
8220DB005150,53.31557768,-6.317368653,Bus Stop
8220DB006163,53.30954009,-6.320727561,Bus Stop
8220DB000956,53.3898318,-6.1529011460000005,Bus Stop
8220DB005001,53.4007728,-6.312745343,Bus Stop
8220DB005000,53.40053775,-6.312649371,Bus Stop
8220DB004985,53.40232099,-6.291418069,Bus Stop
8220DB004364,53.39291139,-6.322529185,Bus Stop
8220DB000322,53.40425499,-6.265350845,Bus Stop
8220DB004793,53.39226726,-6.320825375,Bus Stop
8220DB002453,53.31482788,-6.330530822999999,Bus Stop
8220DB002452,53.31618988,-6.332158697000001,Bus Stop
8220DB002463,53.31530445,-6.331187624,Bus Stop
8220DB002436,53.31370591,-6.308947527000001,Bus Stop
8220DB002414,53.31407447,-6.310854049,Bus Stop
8220DB002415,53.31505675,-6.313576893,Bus Stop
8220DB002435,53.3143144,-6.311294833,Bus Stop
8220DB002434,53.31602660000001,-6.316060201,Bus Stop
8220DB002197,53.34816555,-6.346742215,Bus Stop
8220TR000115,53.38029128,-6.1748402260000015,Bus Stop
8220TR000112,53.38961375,-6.200407481,Bus Stop
8220TR000111,53.37518637,-6.218285656,Bus Stop
8220TR000109,53.36461499,-6.229065075,Bus Stop
8220TR000110,53.36453571,-6.229173549,Bus Stop
8220PB003779,53.33902409,-6.252727007000001,Bus Stop
8220PB003774,53.34278757,-6.25685346,Bus Stop
8220B1352901,53.34256123,-6.256126779,Bus Stop
8220TR000323,53.34175587,-6.258217164,Bus Stop
8220TR000322,53.3434339,-6.259260166000002,Bus Stop
8220TR000321,53.34135205,-6.261342397999999,Bus Stop
8220TR000320,53.33976322,-6.26025068,Bus Stop
8220TR000319,53.33966858,-6.259308422,Bus Stop
8220TR000311,53.34359849,-6.249010478,Bus Stop
8220TR000303,53.38536709,-6.31272325,Bus Stop
8220TR000302,53.34577916,-6.272201779,Bus Stop
8220TR000301,53.34308495,-6.270493447000001,Bus Stop
8220TR000300,53.36119788,-6.284950364,Bus Stop
8220TR000299,53.36298409,-6.289792049,Bus Stop
